problem2中所有流派的数据，分值0到1
genre,max_score,min_score,avg_score
Easy Listening,0.9039974342309044,0.8240799008395476,0.8701217109665534
Folk,0.9163093306763856,0.875785398319942,0.8940867886512109
New Age,0.9260385464152615,0.9052815865121582,0.9144947319366299
Electronic,0.8453183447200207,0.7881021510584769,0.8146447500654872
Latin,0.9155315294131696,0.8764136651737793,0.8966716656544308
Avant-Garde,0.8640937011191163,0.8061304915362875,0.8346236499185719
International,0.8819470668895069,0.8230861689761216,0.8516132234817687
Blues,0.904861658909254,0.861186537445075,0.885508097919417
Religious,0.9176212274558151,0.8700727407205743,0.8945210297094222
Children's,0.9315578710122298,0.9028281230688538,0.9171929970405419
Jazz,0.8809859626420853,0.8137780601179682,0.8476345942053093
Stage & Screen,0.8842319933441547,0.7998645479426323,0.8366206749236755
R&B;,0.9091469796929595,0.8657422839325868,0.8877986382533817
Vocal,0.9305211445057107,0.905051491418889,0.9177499482394439
Classical,0.9061696866443104,0.8228512012020104,0.8661510337219173
Country,0.9337005818855866,0.8925628664668911,0.9175069323284074
Comedy/Spoken,0.9299132868718248,0.8656347711109058,0.9022338194364729
Reggae,0.8914902333274287,0.8218244872356967,0.8642868637826766
Pop/Rock,0.8884225990420381,0.8357530551523115,0.8632045086591361
Easy Listening and Folk,0.7699612941303186,0.5431425379430594,0.6782423017820651
Easy Listening and New Age,0.850183939579276,0.742972725373484,0.7959171577292632
Easy Listening and Electronic,0.7326415252380172,0.4911449652947873,0.6334908180318916
Easy Listening and Latin,0.7269056191247161,0.5265652613102726,0.6570001226687091
Easy Listening and Avant-Garde,0.7866979694014146,0.6203246321797559,0.7034495310366441
Easy Listening and International,0.7943815529842475,0.5695153113855683,0.6813646591443162
Easy Listening and Blues,0.8029446922348629,0.6065681476865855,0.6832931393184196
Easy Listening and Religious,0.7217654877440208,0.40441406460543505,0.60827795305787
Easy Listening and Children's,0.7756241833362217,0.5347414170335212,0.6661193990117421
Easy Listening and Jazz,0.8144672999911924,0.5804587169032648,0.7315609917229318
Easy Listening and Stage & Screen,0.8146477127637987,0.6523186175793849,0.7332781033718895
